date,y_true_var,gp_mean,gp_std,baseline_mean,baseline_std,persistence_mean,persistence_std,gp_w2_error,baseline_w2_error,persistence_w2_error,noforecast_gaussian_w2_error
2019-07-01 19:00:00+00:00,6907847.884463419,7142210.214073893,131858.349108185,7209526.380860895,139013.5975665123,7175449.292388114,141734.84440827434,181.20764983641874,573.757388469171,177.81224893679658,573.5845386980968
2019-07-01 19:30:00+00:00,7016898.69006976,7079535.73943332,181105.85317009094,6959575.235878227,139013.5975665123,6907847.884463419,141734.84440827434,43.1904487602745,441.337959186574,108.36617206584114,444.2808422964458
2019-07-01 20:00:00+00:00,7221166.514329009,6964670.489959658,145055.76541795023,7057472.1142960545,139013.5975665123,7016898.69006976,141734.84440827434,77.38746086376143,435.759644600376,132.48523993157713,438.54803106786875
2019-07-01 20:30:00+00:00,7458670.568458506,7227208.714465655,145085.7102087132,7246068.373829563,139013.5975665123,7221166.514329009,141734.84440827434,157.91306735920304,439.05962392124627,124.14415821886642,440.7292131547746
2019-07-01 21:00:00+00:00,7411947.104560619,7212937.451508759,236619.95896700793,7476197.733523449,139013.5975665123,7458670.568458506,141734.84440827434,51.006826451957956,467.61680600443424,19.90471317229604,468.1305219522833
2019-07-01 21:30:00+00:00,7469993.956569053,7206480.1034915205,215515.22853868894,7419578.234991557,139013.5975665123,7411947.104560619,141734.84440827434,146.8947760148104,426.9308720897897,98.3504428584644,427.3651044994937
2019-07-01 22:00:00+00:00,7342434.266973355,7196586.402552808,243595.71648037928,7483691.299264576,139013.5975665123,7469993.956569053,141734.84440827434,128.64996645027918,514.1400070240151,110.05879546396662,514.3356694114203
2019-07-01 22:30:00+00:00,7314767.744494204,7199801.719249307,192026.88348512628,7365759.361971634,139013.5975665123,7342434.266973355,141734.84440827434,48.248014155467345,465.2831452056179,7.872694738568319,466.0693354287943
2019-07-01 23:00:00+00:00,7568431.278829708,7197346.510496588,182548.01290677913,7339559.200250134,139013.5975665123,7314767.744494204,141734.84440827434,180.33948959265578,428.8947703627106,129.3750788494452,430.6554809943947
2019-07-01 23:30:00+00:00,7405532.882661604,7253325.632639743,249335.67670792068,7564833.938238197,139013.5975665123,7568431.278829708,141734.84440827434,46.71168675792104,449.6441125992336,32.916020555268396,449.5361352286851
