extracted_mean,forward,rel_error,passed,date
10861.9324280451,11030.9,0.015317659661033963,False,2019-07-01 00:00:00+00:00
10944.258849677683,11107.1,0.014660996148618257,False,2019-07-01 00:30:00+00:00
10928.859295615764,11079.01,0.013552718553754868,False,2019-07-01 01:00:00+00:00
10829.578336697201,10980.63,0.013756192796114456,False,2019-07-01 01:30:00+00:00
10972.683923208417,11109.01,0.012271667483563661,False,2019-07-01 02:00:00+00:00
10950.774218900118,11087.93,0.012369827470040125,False,2019-07-01 02:30:00+00:00
11086.592743292833,11163.814999999999,0.006917192438889914,True,2019-07-01 03:00:00+00:00
11078.795866662274,11171.65,0.00831158632231812,True,2019-07-01 03:30:00+00:00
11002.595720434982,11128.52,0.011315456104227595,False,2019-07-01 04:00:00+00:00
11045.785520475105,11174.08,0.011481435565603163,False,2019-07-01 04:30:00+00:00
11053.658580573474,11181.63,0.01144479109275886,False,2019-07-01 05:00:00+00:00
10964.786686937785,11097.62,0.011969531580844892,False,2019-07-01 05:30:00+00:00
10972.92111375625,11098.6,0.01132385041750759,False,2019-07-01 06:00:00+00:00
10856.887449217511,10967.31,0.010068334968418741,False,2019-07-01 06:30:00+00:00
10841.554941145807,10942.8,0.009252207739718573,True,2019-07-01 07:00:00+00:00
10893.493472950428,10997.32,0.009441075375598072,True,2019-07-01 07:30:00+00:00
10970.973766581523,11020.57,0.004500332870121683,True,2019-07-01 08:00:00+00:00
11144.275312961829,11198.72,0.00486168839279585,True,2019-07-01 08:30:00+00:00
11071.267241178757,11119.73,0.004358267585745559,True,2019-07-01 09:00:00+00:00
11096.126558123802,11140.73,0.004003637272979185,True,2019-07-01 09:30:00+00:00
10998.439208371019,11036.79,0.0034748139295014057,True,2019-07-01 10:00:00+00:00
10979.767445803516,11015.945,0.003284108099349032,True,2019-07-01 10:30:00+00:00
10959.125765434073,11013.71,0.004956026131605584,True,2019-07-01 11:00:00+00:00
11029.764266489901,11073.64,0.003962178065215967,True,2019-07-01 11:30:00+00:00
10753.783276532893,10775.87,0.0020496464292078256,True,2019-07-01 12:00:00+00:00
10688.406318424617,10697.18,0.0008201864019660609,True,2019-07-01 12:30:00+00:00
10735.573229170725,10762.65,0.002515808915952402,True,2019-07-01 13:00:00+00:00
10616.473973095553,10636.77,0.001908100570421941,True,2019-07-01 13:30:00+00:00
10637.462986892342,10650.27,0.0012025059559671585,True,2019-07-01 14:00:00+00:00
10336.957866705736,10293.89,0.004183828145213946,True,2019-07-01 14:30:00+00:00
10218.227703840514,10148.13,0.006907450322425358,True,2019-07-01 15:00:00+00:00
10446.011850555917,10439.27,0.0006458162836976382,True,2019-07-01 15:30:00+00:00
10504.58370233917,10484.375,0.0019275066314559032,True,2019-07-01 16:00:00+00:00
10402.498540481824,10363.395,0.0037732365196755575,True,2019-07-01 16:30:00+00:00
10390.980836342547,10339.85,0.004945026895220617,True,2019-07-01 17:00:00+00:00
10403.234700576028,10344.63,0.005665229261561635,True,2019-07-01 17:30:00+00:00
10400.885260577064,10336.99,0.006181224957851813,True,2019-07-01 18:00:00+00:00
10410.407122019298,10361.5,0.004720081264227977,True,2019-07-01 18:30:00+00:00
10241.781097445457,10167.884999999998,0.007267597680880392,True,2019-07-01 19:00:00+00:00
10347.349960582156,10286.98,0.005868579561946911,True,2019-07-01 19:30:00+00:00
10472.437831772251,10426.15,0.0044395900473570395,True,2019-07-01 20:00:00+00:00
10586.724742481267,10582.71,0.00037936809014587036,True,2019-07-01 20:30:00+00:00
10571.064504523436,10569.73,0.00012625720084017357,True,2019-07-01 21:00:00+00:00
10667.561817507507,10654.88,0.0011902356016686938,True,2019-07-01 21:30:00+00:00
10562.334766405953,10557.79,0.00043046569461525864,True,2019-07-01 22:00:00+00:00
10557.234651602532,10553.67,0.00033776417137656756,True,2019-07-01 22:30:00+00:00
10674.804793097854,10701.56,0.0025001221225826706,True,2019-07-01 23:00:00+00:00
10675.913181372885,10684.83,0.0008345306969895151,True,2019-07-01 23:30:00+00:00
