date,k,strike,forward,tau_years,rate,fitted_iv
2019-07-01 00:00:00+00:00,-0.6959523333464741,5500.0,11030.9,0.06940639269406393,0.0,1.2978863662025155
2019-07-01 00:00:00+00:00,-0.6736227609217241,5624.194088459652,11030.9,0.06940639269406393,0.0,1.2138963581592028
2019-07-01 00:00:00+00:00,-0.6512931884969742,5751.19257175718,11030.9,0.06940639269406393,0.0,1.1560588243734793
2019-07-01 00:00:00+00:00,-0.6289636160722242,5881.05877521269,11030.9,0.06940639269406393,0.0,1.114615515639845
2019-07-01 00:00:00+00:00,-0.6066340436474742,6013.857454079085,11030.9,0.06940639269406393,0.0,1.084007144500227
2019-07-01 00:00:00+00:00,-0.5843044712227243,6149.654825831018,11030.9,0.06940639269406393,0.0,1.060892110191332
2019-07-01 00:00:00+00:00,-0.5619748987979744,6288.518603182942,11030.9,0.06940639269406393,0.0,1.0431583194154475
2019-07-01 00:00:00+00:00,-0.5396453263732244,6430.518027852736,11030.9,0.06940639269406393,0.0,1.029411278512131
2019-07-01 00:00:00+00:00,-0.5173157539484744,6575.723905087741,11030.9,0.06940639269406393,0.0,1.018695449532455
2019-07-01 00:00:00+00:00,-0.4949861815237244,6724.208638970415,11030.9,0.06940639269406393,0.0,1.0103350770651682
2019-07-01 00:00:00+00:00,-0.47265660909897445,6876.046268521224,11030.9,0.06940639269406393,0.0,1.0038392025195686
2019-07-01 00:00:00+00:00,-0.4503270366742245,7031.312504616748,11030.9,0.06940639269406393,0.0,0.9988427516317766
2019-07-01 00:00:00+00:00,-0.42799746424947455,7190.084767741444,11030.9,0.06940639269406393,0.0,0.9950687360880421
2019-07-01 00:00:00+00:00,-0.40566789182472457,7352.442226591857,11030.9,0.06940639269406393,0.0,0.9923032691249094
2019-07-01 00:00:00+00:00,-0.38333831939997465,7518.465837552552,11030.9,0.06940639269406393,0.0,0.9903786117867254
2019-07-01 00:00:00+00:00,-0.36100874697522467,7688.238385063439,11030.9,0.06940639269406393,0.0,0.9891613978750962
2019-07-01 00:00:00+00:00,-0.3386791745504747,7861.844522898612,11030.9,0.06940639269406393,0.0,0.9885442845609417
2019-07-01 00:00:00+00:00,-0.3163496021257247,8039.370816377321,11030.9,0.06940639269406393,0.0,0.9884399212679771
2019-07-01 00:00:00+00:00,-0.29402002970097474,8220.905785528068,11030.9,0.06940639269406393,0.0,0.988776519879922
2019-07-01 00:00:00+00:00,-0.2716904572762248,8406.539949227401,11030.9,0.06940639269406393,0.0,0.9894945516913095
2019-07-01 00:00:00+00:00,-0.24936088485147484,8596.36587033539,11030.9,0.06940639269406393,0.0,0.9905442505767409
2019-07-01 00:00:00+00:00,-0.22703131242672486,8790.478201850292,11030.9,0.06940639269406393,0.0,0.9918837019060842
2019-07-01 00:00:00+00:00,-0.20470174000197494,8988.973734105426,11030.9,0.06940639269406393,0.0,0.9934773630020253
2019-07-01 00:00:00+00:00,-0.18237216757722496,9191.951443031785,11030.9,0.06940639269406393,0.0,0.9952949056254243
2019-07-01 00:00:00+00:00,-0.160042595152475,9399.51253951046,11030.9,0.06940639269406393,0.0,0.9973103016110889
2019-07-01 00:00:00+00:00,-0.137713022727725,9611.760519839472,11030.9,0.06940639269406393,0.0,0.9995010941026793
2019-07-01 00:00:00+00:00,-0.11538345030297503,9828.801217340186,11030.9,0.06940639269406393,0.0,1.0018478118894762
2019-07-01 00:00:00+00:00,-0.09305387787822506,10050.742855129038,11030.9,0.06940639269406393,0.0,1.0043334951137444
2019-07-01 00:00:00+00:00,-0.07072430545347519,10277.696100080873,11030.9,0.06940639269406393,0.0,1.0069433084098978
2019-07-01 00:00:00+00:00,-0.04839473302872521,10509.774118010848,11030.9,0.06940639269406393,0.0,1.0096642232413748
2019-07-01 00:00:00+00:00,-0.026065160603975235,10747.092630102337,11030.9,0.06940639269406393,0.0,1.0124847554203746
2019-07-01 00:00:00+00:00,-0.0037355881792252577,10989.769970609064,11030.9,0.06940639269406393,0.0,1.0153947469481055
2019-07-01 00:00:00+00:00,0.01859398424552472,11237.927145860163,11030.9,0.06940639269406393,0.0,1.0183851836894902
2019-07-01 00:00:00+00:00,0.0409235566702747,11491.687894597633,11030.9,0.06940639269406393,0.0,1.0214480422034646
2019-07-01 00:00:00+00:00,0.06325312909502467,11751.178749676246,11030.9,0.06940639269406393,0.0,1.0245761604356305
2019-07-01 00:00:00+00:00,0.08558270151977465,12016.529101156695,11030.9,0.06940639269406393,0.0,1.0277631280501025
2019-07-01 00:00:00+00:00,0.10791227394452463,12287.871260823427,11030.9,0.06940639269406393,0.0,1.0310031930105716
2019-07-01 00:00:00+00:00,0.1302418463692745,12565.340528159339,11030.9,0.06940639269406393,0.0,1.0342911816729232
2019-07-01 00:00:00+00:00,0.15257141879402447,12849.075257810224,11030.9,0.06940639269406393,0.0,1.0376224301663448
2019-07-01 00:00:00+00:00,0.17490099121877445,13139.216928572623,11030.9,0.06940639269406393,0.0,1.0409927252482873
2019-07-01 00:00:00+00:00,0.19723056364352443,13435.910213939478,11030.9,0.06940639269406393,0.0,1.0443982531441283
2019-07-01 00:00:00+00:00,0.2195601360682744,13739.303054238739,11030.9,0.06940639269406393,0.0,1.0478355551442622
2019-07-01 00:00:00+00:00,0.24188970849302438,14049.546730400938,11030.9,0.06940639269406393,0.0,1.0513014889418022
2019-07-01 00:00:00+00:00,0.26421928091777436,14366.795939392468,11030.9,0.06940639269406393,0.0,1.054793194865486
2019-07-01 00:00:00+00:00,0.2865488533425242,14691.208871352224,11030.9,0.06940639269406393,0.0,1.0583080663014608
2019-07-01 00:00:00+00:00,0.3088784257672743,15022.947288470034,11030.9,0.06940639269406393,0.0,1.0618437237116938
2019-07-01 00:00:00+00:00,0.3312079981920242,15362.176605646202,11030.9,0.06940639269406393,0.0,1.065397991750518
2019-07-01 00:00:00+00:00,0.35353757061677427,15709.065972972461,11030.9,0.06940639269406393,0.0,1.0689688790581595
2019-07-01 00:00:00+00:00,0.37586714304152413,16063.788360075341,11030.9,0.06940639269406393,0.0,1.0725545603741538
2019-07-01 00:00:00+00:00,0.398196715466274,16426.520642364125,11030.9,0.06940639269406393,0.0,1.076153360667104
2019-07-01 00:00:00+00:00,0.4205262878910241,16797.44368922632,11030.9,0.06940639269406393,0.0,1.0797637410214675
2019-07-01 00:00:00+00:00,0.44285586031577395,17176.74245421464,11030.9,0.06940639269406393,0.0,1.083384286059636
2019-07-01 00:00:00+00:00,0.46518543274052404,17564.60606727053,11030.9,0.06940639269406393,0.0,1.0870136927089122
2019-07-01 00:00:00+00:00,0.4875150051652739,17961.227929030083,11030.9,0.06940639269406393,0.0,1.0906507601493853
2019-07-01 00:00:00+00:00,0.509844577590024,18366.805807259523,11030.9,0.06940639269406393,0.0,1.0942943808012056
2019-07-01 00:00:00+00:00,0.5321741500147739,18781.541935468256,11030.9,0.06940639269406393,0.0,1.0979435322286855
2019-07-01 00:00:00+00:00,0.5545037224395237,19205.643113748654,11030.9,0.06940639269406393,0.0,1.1015972698550425
2019-07-01 00:00:00+00:00,0.5768332948642738,19639.32081189291,11030.9,0.06940639269406393,0.0,1.1052547203951317
2019-07-01 00:00:00+00:00,0.5991628672890237,20082.79127483831,11030.9,0.06940639269406393,0.0,1.1089150759257014
2019-07-01 00:00:00+00:00,0.6214924397137738,20536.27563049358,11030.9,0.06940639269406393,0.0,1.112577588522541
2019-07-01 00:00:00+00:00,0.6438220121385236,21000.0,11030.9,0.06940639269406393,0.0,1.1162415654028353
2019-07-01 00:30:00+00:00,-0.7028364512372606,5500.0,11107.1,0.06934931506849315,0.0,1.3420877853792048
2019-07-01 00:30:00+00:00,-0.6805068788125106,5624.1940884596515,11107.1,0.06934931506849315,0.0,1.2722547015736687
2019-07-01 00:30:00+00:00,-0.6581773063877606,5751.19257175718,11107.1,0.06934931506849315,0.0,1.2175615945328895
2019-07-01 00:30:00+00:00,-0.6358477339630106,5881.058775212689,11107.1,0.06934931506849315,0.0,1.1742237455458675
2019-07-01 00:30:00+00:00,-0.6135181615382608,6013.857454079084,11107.1,0.06934931506849315,0.0,1.1395030555441308
2019-07-01 00:30:00+00:00,-0.5911885891135108,6149.654825831018,11107.1,0.06934931506849315,0.0,1.1114208114423576
